"_messagetimems","_messagetime","_raw","cluster","_collector","container","deployment","environment","host","namespace","node","pod","provider","region","service","_size","_source","_sourcecategory","_sourcehost","_sourcename"
"1631665062020","09/14/2021 17:17:42.020 -0700","{""timestamp"":1631665062020,""log"":{""thread"":""queueSendingThread-ServerRepositoryMessageLog-e0afdc5c-5d65-43b4-9d83-35d81dda35d2"",""level"":""INFO"",""loggerName"":""com.automationanywhere.es_client.ESRestClient"",""message"":""Saved doc id: AW_R5nsBxKrEhaEoAL0i"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631665061,""nanoOfSecond"":929655000},""contextMap"":{""parentId"":""d2818bf9d92459f2"",""sampled"":""false"",""spanId"":""47595cea9830e068"",""traceId"":""d2818bf9d92459f2""},""threadId"":67,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T00:17:41.929788526Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-123-241.us-west-2.compute.internal","default","ip-10-19-123-241.us-west-2.compute.internal","lilywei-kernel-7f668cbb6c-7k45h","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","603","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7f668cbb6c-7k45h_kernel-kernel"
"1631665061903","09/14/2021 17:17:41.903 -0700","{""timestamp"":1631665061903,""log"":{""thread"":""queueSendingThread-ServerRepositoryMessageLog-e0afdc5c-5d65-43b4-9d83-35d81dda35d2"",""level"":""INFO"",""loggerName"":""com.automationanywhere.es_client.ESRestClient"",""message"":""Saved doc id: NQzQ5nsBOMu24FEJ_9X-"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631665061,""nanoOfSecond"":893377000},""contextMap"":{""parentId"":""d2818bf9d92459f2"",""sampled"":""false"",""spanId"":""9bb067330aec259a"",""traceId"":""d2818bf9d92459f2""},""threadId"":67,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T00:17:41.893532062Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-123-241.us-west-2.compute.internal","default","ip-10-19-123-241.us-west-2.compute.internal","lilywei-kernel-7f668cbb6c-7k45h","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","603","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7f668cbb6c-7k45h_kernel-kernel"
"1631665061893","09/14/2021 17:17:41.893 -0700","{""timestamp"":1631665061893,""log"":{""thread"":""queueSendingThread-ServerRepositoryMessageLog-e0afdc5c-5d65-43b4-9d83-35d81dda35d2"",""level"":""INFO"",""loggerName"":""com.automationanywhere.es_client.ESRestClient"",""message"":""{\""took\"":958,\""timed_out\"":false,\""total\"":0,\""updated\"":0,\""deleted\"":0,\""batches\"":0,\""version_conflicts\"":0,\""noops\"":0,\""retries\"":{\""bulk\"":0,\""search\"":0},\""throttled_millis\"":0,\""requests_per_second\"":-1.0,\""throttled_until_millis\"":0,\""failures\"":[]}"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631665061,""nanoOfSecond"":883734000},""contextMap"":{""parentId"":""d2818bf9d92459f2"",""sampled"":""false"",""spanId"":""9bb067330aec259a"",""traceId"":""d2818bf9d92459f2""},""threadId"":67,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T00:17:41.88389645Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-123-241.us-west-2.compute.internal","default","ip-10-19-123-241.us-west-2.compute.internal","lilywei-kernel-7f668cbb6c-7k45h","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","827","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7f668cbb6c-7k45h_kernel-kernel"
"1631665061268","09/14/2021 17:17:41.268 -0700","{""timestamp"":1631665061268,""log"":{""thread"":""queueSendingThread-ServerRepositoryMessageLog-e0afdc5c-5d65-43b4-9d83-35d81dda35d2"",""level"":""INFO"",""loggerName"":""com.automationanywhere.es_client.ESRestClient"",""message"":""ES LowClient exec POST /metric_logs_20210701/_update_by_query?conflicts=proceed"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631665060,""nanoOfSecond"":918512000},""contextMap"":{""parentId"":""d2818bf9d92459f2"",""sampled"":""false"",""spanId"":""9bb067330aec259a"",""traceId"":""d2818bf9d92459f2""},""threadId"":67,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T00:17:40.918709369Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-123-241.us-west-2.compute.internal","default","ip-10-19-123-241.us-west-2.compute.internal","lilywei-kernel-7f668cbb6c-7k45h","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","648","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7f668cbb6c-7k45h_kernel-kernel"
"1631665060901","09/14/2021 17:17:40.901 -0700","{""timestamp"":1631665060901,""log"":{""thread"":""cr-jetty-344"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.service.impl.FileServiceV2Impl"",""message"":""Trying to delete 0 files from git, tenantId = ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399, workspaceId = 0"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631665060,""nanoOfSecond"":889323000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""d2818bf9d92459f2"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""d2818bf9d92459f2""},""threadId"":344,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T00:17:40.889469571Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-123-241.us-west-2.compute.internal","default","ip-10-19-123-241.us-west-2.compute.internal","lilywei-kernel-7f668cbb6c-7k45h","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","673","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7f668cbb6c-7k45h_kernel-kernel"
"1631665060889","09/14/2021 17:17:40.889 -0700","{""timestamp"":1631665060889,""log"":{""thread"":""cr-jetty-344"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.service.impl.FileServiceV2Impl"",""message"":""Published bot command statistics"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631665060,""nanoOfSecond"":882082000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""d2818bf9d92459f2"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""d2818bf9d92459f2""},""threadId"":344,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T00:17:40.882252209Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-123-241.us-west-2.compute.internal","default","ip-10-19-123-241.us-west-2.compute.internal","lilywei-kernel-7f668cbb6c-7k45h","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","606","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7f668cbb6c-7k45h_kernel-kernel"
"1631665060882","09/14/2021 17:17:40.882 -0700","{""timestamp"":1631665060882,""log"":{""thread"":""cr-jetty-344"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.service.impl.FileServiceV2Impl"",""message"":""Publishing bot command statistics"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631665060,""nanoOfSecond"":851465000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""d2818bf9d92459f2"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""d2818bf9d92459f2""},""threadId"":344,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T00:17:40.851618934Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-123-241.us-west-2.compute.internal","default","ip-10-19-123-241.us-west-2.compute.internal","lilywei-kernel-7f668cbb6c-7k45h","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","607","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7f668cbb6c-7k45h_kernel-kernel"
"1631665060851","09/14/2021 17:17:40.851 -0700","{""timestamp"":1631665060851,""log"":{""thread"":""cr-jetty-344"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.service.impl.FileServiceV2Impl"",""message"":""Delete file Id: 10759 relativePath Automation Anywhere\\Bots\\My MetaBots\\COMMON\\delete test and dependencies"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631665060,""nanoOfSecond"":741000000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""d2818bf9d92459f2"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""d2818bf9d92459f2""},""threadId"":344,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T00:17:40.741165389Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-123-241.us-west-2.compute.internal","default","ip-10-19-123-241.us-west-2.compute.internal","lilywei-kernel-7f668cbb6c-7k45h","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","685","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7f668cbb6c-7k45h_kernel-kernel"
"1631665060741","09/14/2021 17:17:40.741 -0700","{""timestamp"":1631665060741,""log"":{""thread"":""cr-jetty-344"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.service.impl.FileServiceV2Impl"",""message"":""Delete metadata for 1 bots"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631665060,""nanoOfSecond"":702020000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""d2818bf9d92459f2"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""d2818bf9d92459f2""},""threadId"":344,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T00:17:40.702158108Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-123-241.us-west-2.compute.internal","default","ip-10-19-123-241.us-west-2.compute.internal","lilywei-kernel-7f668cbb6c-7k45h","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","600","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7f668cbb6c-7k45h_kernel-kernel"
